"","scrubbed_family","scrubbed_genus","log_pet_leafarea","count","fit","upr","lwr"
"1996","Betulaceae","Alnus",-7.73739824163062,403,4.02553573315342,4.85054653976527,3.24455617055131
"1997","Betulaceae","Alnus",-7.30076971933975,403,4.16890309034309,4.97849076921034,3.4191286515543
"1998","Betulaceae","Alnus",-7.76230436608353,403,4.01571352056965,4.79154396716246,3.3032637529885
"1999","Betulaceae","Alnus",-8.15963763533022,403,3.83191911824044,4.6240015798331,3.09764406335632
"2000","Betulaceae","Alnus",-7.48560785078668,403,4.13940441962323,4.89404947469417,3.33692955817577
"2001","Betulaceae","Alnus",-7.23264505205714,403,4.20907526897597,4.94510336289675,3.40795350990545
"2002","Betulaceae","Alnus",-7.44818652275227,403,4.12887023557909,4.91610789180332,3.34908662497953
"2003","Betulaceae","Alnus",-7.28935104011936,403,4.20066728814242,4.92248364297599,3.46097924026725
"2004","Betulaceae","Alnus",-6.8398938473319,403,4.37330117076927,5.13051791913874,3.61720632668476
"2005","Betulaceae","Alnus",-8.58658078365232,403,3.69191957509546,4.54347174183731,2.92215358932671
"2006","Betulaceae","Betula",-8.52473657130136,403,3.70170880256895,4.54457185602505,2.92331355288573
"2007","Betulaceae","Betula",-7.47410065991957,403,4.08651446733433,4.91469567037768,3.36096000619221
"2008","Betulaceae","Betula",-6.87294137695797,403,4.362897449518,5.10721794145513,3.57546272872269
"2009","Betulaceae","Betula",-7.35045507370053,403,4.16828574352457,4.9726670440242,3.33569718599918
"2010","Betulaceae","Betula",-7.00243086018675,403,4.29605269484788,5.17950195025139,3.53925759567516
"2028","Cornaceae","Cornus",-8.3357303365346,7,3.66480913751248,4.50193565772042,2.86993827073486
"2029","Cornaceae","Cornus",-7.59856319774966,7,3.99911455545659,4.74337141449348,3.22935239824355
"2030","Rosaceae","Crataegus",-7.22558183181809,159,4.19787671513712,4.96947926333713,3.4542783594262
"2031","Rosaceae","Crataegus",-6.63325115554357,159,4.44361416229599,5.21905711158723,3.72525831516212
"2032","Ericaceae","",-7.22459156886427,7,4.19151352252273,4.91596131128669,3.39101754581005
"2033","Ericaceae","",-6.65566437445917,7,4.3874727244417,5.14325536444733,3.63417591745113
"2039","Rosaceae","Photinia",-8.70608025405236,159,3.61679102013191,4.39848424368709,2.87282740375555
"2040","Rosaceae","Photinia",-7.16608569038573,159,4.23048715802501,5.01904947575426,3.4583814646001
"2041","Rosaceae","Prunus",-6.88635001502578,159,4.32619047242994,5.05165982329304,3.60455833604768
"2042","Rosaceae","Prunus",-8.79444979838444,159,3.58722688037161,4.35188976138507,2.79396909268574
"2050","Lauraceae","Sassafras",-7.20950517420107,40,4.37129957898183,5.13433197878856,3.62859039104084
"2051","Lauraceae","Sassafras",-6.68252350951392,40,4.59397834678466,5.37203230451992,3.86708677739489
"2052","Lauraceae","Sassafras",-7.26329943393236,40,4.34888626258773,5.15351775412815,3.63608227607909
"2053","Lauraceae","Sassafras",-7.00320616868564,40,4.4506843739959,5.23933594630204,3.64692579026445
"2054","Rosaceae","Spiraea",-6.35711738629725,159,4.52368722339113,5.36453478232639,3.80237655239488
"2055","Rosaceae","Spiraea",-6.97406283059851,159,4.30047545427543,5.0655154365065,3.54206650635221
"2056","Rosaceae","Spiraea",-6.25741069888144,159,4.60378526416484,5.33077545685209,3.76114027242804
