"","scrubbed_genus","species","avg_petiole_width","avg_LMA","avg_LA","log_lma","log_pet_leafarea","class","superorder","order","scrubbed_family","count"
"316","Sambucus","pubens",1.44,34.8,3299.9,3.54961738678043,-7.3723612167893,"Equisetopsida","Asteranae","Dipsacales","Adoxaceae",10
"317","Sassafras","albidum",1.1075,40.225,6623.725,3.69448869287845,-8.5942027336285,"Equisetopsida","Magnolianae","Laurales","Lauraceae",8
"318","Sideroxylon","celastrina",0.9,113.3,396.2,4.73003916803396,-6.1926401655801,"Equisetopsida","Asteranae","Ericales","Sapotaceae",5
"319","Sorbus","americana",0.85,61,1128.5,4.11087386417331,-7.35368245525314,"Equisetopsida","Rosanae","Rosales","Rosaceae",13
"320","Sorocea","affinis",2.14,44.8,2759.6,3.80220813942094,-6.40122936260443,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"321","Sorocea","piliata",2.28,53.2,16907.6,3.9740583963476,-8.08716761803388,"Equisetopsida","Rosanae","Rosales","Moraceae",9
"322","Spartothamnella","puberula",0.42,122.6,23.3,4.80892702350211,-4.8834544959811,"Equisetopsida","Asteranae","Lamiales","Lamiaceae",4
"323","Spirostachys","africana",0.8,66.2,573.8,4.19268046294296,-6.79856800617568,"Equisetopsida","Rosanae","Malpighiales","Euphorbiaceae",12
"324","Swartzia","panamensis",1.46,61,7951.5,4.11087386417331,-8.22424299765548,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"325","Swartzia","simplex",2.58,57.7,12798.3,4.05525717351405,-7.56148883072029,"Equisetopsida","Rosanae","Fabales","Fabaceae",32
"326","Syncarpia","glomulifera",1.27,140.6,1065,4.94591897937656,-6.49269627720253,"Equisetopsida","Rosanae","Myrtales","Myrtaceae",42
"327","Synoum","glandulosum",1.07,127.1,710.3,4.84497417819541,-6.43037011905613,"Equisetopsida","Rosanae","Sapindales","Meliaceae",6
"328","Syringa","vulgaris",2.96,71.4,5432.8,4.26829786934554,-6.42983139712764,"Equisetopsida","Asteranae","Lamiales","Oleaceae",12
